electrode,euclid_dist_target,radial_dist_target,euclid_dist_entry,radial_dist_entry,radial_angle,line_angle
RAm,2.31,2.29,1.48,1.21,2.75,1.31
RAHc,2.6,2.58,1.79,0.87,3.11,2.09
RPHc,2.78,1.81,1.47,1.0,2.17,1.03
ROFr,1.35,1.33,1.43,0.13,1.53,1.47
RACg,1.16,1.0,1.31,0.7,1.1,0.74
RAIn,0.68,0.39,0.6,0.36,0.29,0.45
RPIn,2.54,2.53,0.78,0.52,1.43,1.25
LAm,1.77,1.52,1.89,1.27,1.68,0.42
LOFr,4.71,4.19,3.53,2.86,4.57,1.44
LPHc,2.68,1.81,3.12,1.74,1.99,0.43
LACg,3.24,3.14,5.74,2.67,3.14,0.48
LAIn,3.0,2.83,2.48,2.01,1.9,0.64
LPIn,3.76,3.73,3.07,1.7,2.13,1.2
LAHc,1.55,1.02,2.32,1.76,1.33,0.97
